GeoName,Education,Sex,Industry,Median Income
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Education and teaching,71807
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,"Trades, services, natural resources and conservation",69738
Prince Edward Island,Bachelor's degree,Both sexes,Science and science technology,57394
Prince Edward Island,Bachelor's degree,Both sexes,Engineering and engineering technology,73090
Prince Edward Island,Bachelor's degree,Both sexes,Mathematics and computer and information science,62995
Prince Edward Island,Bachelor's degree,Both sexes,Business and administration,58721
Prince Edward Island,Bachelor's degree,Both sexes,Arts and humanities,46815
Prince Edward Island,Bachelor's degree,Both sexes,Social and behavioural sciences,50478
Prince Edward Island,Bachelor's degree,Both sexes,Legal professions and studies,95962
Prince Edward Island,Bachelor's degree,Both sexes,Health care,73394
Prince Edward Island,Bachelor's degree,Both sexes,Education and teaching,63899
Prince Edward Island,Bachelor's degree,Both sexes,"Trades, services, natural resources and conservation",64056
Prince Edward Island,Bachelor's degree,Male,Science and science technology,56414
Prince Edward Island,Bachelor's degree,Male,Engineering and engineering technology,72563
Prince Edward Island,Bachelor's degree,Male,Mathematics and computer and information science,64932
Prince Edward Island,Bachelor's degree,Male,Business and administration,63112
Prince Edward Island,Bachelor's degree,Male,Arts and humanities,47584
Prince Edward Island,Bachelor's degree,Male,Social and behavioural sciences,63683
Prince Edward Island,Bachelor's degree,Male,Legal professions and studies,82227
Prince Edward Island,Bachelor's degree,Male,Health care,93445
Prince Edward Island,Bachelor's degree,Male,Education and teaching,68262
Prince Edward Island,Bachelor's degree,Male,"Trades, services, natural resources and conservation",59009
Prince Edward Island,Bachelor's degree,Female,Science and science technology,57579
Prince Edward Island,Bachelor's degree,Female,Engineering and engineering technology,78747
Prince Edward Island,Bachelor's degree,Female,Mathematics and computer and information science,34958
Prince Edward Island,Bachelor's degree,Female,Business and administration,54369
Prince Edward Island,Bachelor's degree,Female,Arts and humanities,45481
Prince Edward Island,Bachelor's degree,Female,Social and behavioural sciences,45999
Prince Edward Island,Bachelor's degree,Female,Legal professions and studies,111627
Prince Edward Island,Bachelor's degree,Female,Health care,72575
Prince Edward Island,Bachelor's degree,Female,Education and teaching,63503
Prince Edward Island,Bachelor's degree,Female,"Trades, services, natural resources and conservation",64509
Prince Edward Island,Master's degree,Both sexes,Science and science technology,68698
Prince Edward Island,Master's degree,Both sexes,Engineering and engineering technology,84088
Prince Edward Island,Master's degree,Both sexes,Mathematics and computer and information science,77573
Prince Edward Island,Master's degree,Both sexes,Business and administration,78584
Prince Edward Island,Master's degree,Both sexes,Arts and humanities,55766
Prince Edward Island,Master's degree,Both sexes,Social and behavioural sciences,78442
Prince Edward Island,Master's degree,Both sexes,Legal professions and studies,0
Prince Edward Island,Master's degree,Both sexes,Health care,71808
Prince Edward Island,Master's degree,Both sexes,Education and teaching,80452
Prince Edward Island,Master's degree,Both sexes,"Trades, services, natural resources and conservation",71362
