GeoName,Education,Age,Sex,Industry,Median Income
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Health care,104973
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Education and teaching,73664
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,"Trades, services, natural resources and conservation",74095
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Science and science technology,41201
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Engineering and engineering technology,63205
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Mathematics and computer and information science,53655
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Business and administration,48331
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Arts and humanities,37541
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Social and behavioural sciences,41716
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Legal professions and studies,48866
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Health care,66972
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,Education and teaching,47111
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Female,"Trades, services, natural resources and conservation",46356
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Science and science technology,66328
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Engineering and engineering technology,79740
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Mathematics and computer and information science,70552
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Business and administration,67376
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Arts and humanities,53092
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Social and behavioural sciences,61514
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Legal professions and studies,85257
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Health care,79103
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,Education and teaching,70710
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Female,"Trades, services, natural resources and conservation",66145
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Science and science technology,75383
